date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:07	4706/4706	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-1262%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/datatables.net-bs4/dataTables.bootstrap4.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/datatables.net-bs4/dataTables.bootstrap4.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:08	185/185	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-b9%22	https://demo.bootstrapdash.com/majestic-free/template/js/off-canvas.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/off-canvas.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:08	806/806	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-326%22	https://demo.bootstrapdash.com/majestic-free/template/js/hoverable-collapse.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/hoverable-collapse.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:08	3360/3360	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-d20%22	https://demo.bootstrapdash.com/majestic-free/template/js/template.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/template.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:08	7113/7113	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-1bc9%22	https://demo.bootstrapdash.com/majestic-free/template/js/dashboard.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/dashboard.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:08	821/821	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-335%22	https://demo.bootstrapdash.com/majestic-free/template/js/data-table.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/data-table.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:09	4678/4678	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-1246%22	https://demo.bootstrapdash.com/majestic-free/template/js/dataTables.bootstrap4.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/dataTables.bootstrap4.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:09	445792/445792	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-6cd60%22	https://demo.bootstrapdash.com/majestic-free/template/js/jquery.dataTables.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/jquery.dataTables.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:09	3121/3121	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-c31%22	https://demo.bootstrapdash.com/majestic-free/template/js/jquery.cookie.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/jquery.cookie.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:10	663148/663148	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264a9a147-a1e6c%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/mdi/fonts/materialdesignicons-webfont.eot?v=3.9.97	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/mdi/fonts/materialdesignicons-webfont3b9f.eot	(from https://demo.bootstrapdash.com/majestic-free/template/vendors/mdi/css/materialdesignicons.min.css)
